,ID RESTAURANT,GRADE,DBA,Latitude,Longitude,Exponential Smoothed Score,Probabilistic risk Score,Final Cluster,CUISINE DESCRIPTION
7667,50008567,A,BAKER & CO.,40.73129627,-74.00303085,10.62114782,12.15400249,3,Italian
7668,50008575,A,SHANGHAI ASIAN CUISINE,40.71583501,-73.99740634,13.01526021,14.89363557,2,Chinese
7669,50008585,A,PHO 32,40.75931803,-73.76881757,12.13048048,13.88116355,3,Southeast Asian
7670,50008598,C,GRACIE'S ON 2ND,40.77763141,-73.95168188,32.87912681,37.62427525,3,American
7671,50008603,A,GINA LA FORNARINA,40.77086943,-73.96188955,10.7123039,12.25831431,1,Pizza
7672,50008609,A,MIGHTY QUINN'S BBQ,40.71153017,-74.01567279,6.637099542,7.594972381,1,Barbecue
7673,50008613,A,CHIPOTLE MEXICAN GRILL #2211,40.60996998,-73.92222034,7.653976101,8.758605582,1,Tex-Mex
7674,50008640,A,CARIDAD RESTAURANT,40.86904168,-73.90298092,12.36205138,14.14615499,0,Latin American
7675,50008656,C,LA GUALACENA BAR & RESTAURANT,40.70213514,-73.91577204,32.11941533,36.75492145,1,Latin American
7676,50008660,A,FORTUNE GARDEN CHINESE RESTAURANT,40.75254401,-73.78582666,7.959306812,9.108001926,3,Chinese
7677,50008666,A,DELEON BAKERY & RESTAURANT,40.60228473,-73.75110186,10.46719899,11.97783561,1,Spanish
7678,50008669,A,NUMERO 28 PIZZERIA,40.73052146,-73.98625668,12.08479881,13.82888905,3,Pizza
7679,50008709,C,STATUE OF LIBERTY DELI,40.64372588,-74.0727888,32.84892098,37.58971008,3,American
7680,50008725,A,M SHANGHAI,40.7130083,-73.95755809,9.994760095,11.43721386,0,Chinese
7681,50008729,A,NEW YORK KIMCHI,40.75761939,-73.97894165,13.45073235,15.39195549,3,Korean
7682,50008732,A,MI ESPIGUITA,40.76155797,-73.92572103,7.929512957,9.073908191,1,Mexican
7683,50008739,A,DIG SEASONAL MARKET,40.71153017,-74.01567279,12.3206121,14.09873515,2,American
7684,50008743,A,NANA'S KITCHEN,40.84921535,-73.85498658,11.8640241,13.57625192,2,Mediterranean
7685,50008750,A,THE ADIRONDACK,40.65253254,-73.97602697,7.959306812,9.108001926,3,American
7686,50008767,B,MR. PIZZA,40.59142733,-74.16478751,18.0228492,20.62392481,0,Pizza
7687,50008807,A,INSOMNIA COOKIES,40.73020303,-73.98595006,10.87835596,12.44833116,1,Bakery Products/Desserts
7688,50008811,A,BOOBIETRAP,40.70043903,-73.91598336,12.66966465,14.49816331,0,American
7689,50008826,A,RAY'S PIZZA BAGEL CAFE,40.72940195,-73.98959797,9.923916335,11.35614586,1,Pizza
7690,50008831,A,RALPH'S FAMOUS ITALIAN ICES,40.71274392,-73.87918565,2.816005309,3.22241401,1,Frozen Desserts
7691,50008834,A,DUNKIN,40.82912083,-73.87584424,8.336188416,9.53927546,3,Donuts
7692,50008876,A,SIMON'S,40.85719922,-73.88617035,5.53901488,6.338411043,1,Sandwiches/Salads/Mixed Buffet
7693,50008894,A,IVAN RAMEN,40.72056869,-73.98431065,12.45581264,14.25344796,0,Japanese
7694,50008904,B,TITO RADS GRILL,40.74279055,-73.91563022,17.5810009,20.11830852,1,Filipino
7695,50008918,A,HAHM JI BACH,40.76312388,-73.81513378,10.72949161,12.27798256,1,Korean
7696,50008942,A,VIVI BUBBLE TEA,40.63588758,-74.00915517,11.23884078,12.86084151,3,Coffee/Tea
7697,50008960,C,KAILASH PARBAT,40.74210665,-73.98283319,45.39595587,51.94754559,0,Jewish/Kosher
7698,50008977,A,MOKBAR,40.74186904,-74.00471301,15.62261519,17.87728662,1,Korean
7699,50008983,A,AITA TRATTORIA,40.67110943,-73.95781917,10.27267325,11.75523572,1,Italian
7700,50008995,B,THE ELK,40.73424944,-74.00736097,33.04719901,37.8166038,0,American
